Standard Code,Standard Name,Disclosure Code,Disclosure Name,Rationale,Response Options,Data Type
8,Environmental Performance - Forests,8.7,"Did your organization have a no-deforestation or no-conversion target, or any other targets for sustainable production/ sourcing of your disclosed commodities, active in the reporting year?","This question establishes whether organizations have targets for eliminating deforestation and conversion of other natural ecosystems in their value chain. Setting specific targets with clear progress indicators enables organizations to effectively implement their commitments, policies, and goals.",NaN,Boolean
8,Environmental Performance - Forests,8.7.1,Provide details on your no-deforestation or no-conversion target that was active during the reporting year.,This question establishes how ambitious an organization's no-conversion or no-deforestation targets are. Information disclosed about your targets provides data users with a way of tracking progress towards a sustainable value chain. Ambitious targets reflect how urgent issues related to deforestation and conversion of other natural ecosystems are being addressed by organizations.,NaN,Narrative
8,Environmental Performance - Forests,8.7.2,"Provide details of other targets related to your commodities, including any which contribute to your no-deforestation or no-conversion target, and progress made against them.","This question captures details on targets organizations have in place to implement their overall no-deforestation or no-conversion targets, or to improve the sustainability of commodity production and sourcing. Providing details on metrics and progress against targets helps data users understand whether organizations have relevant targets to address the dependencies, impacts, risks, and opportunities in their value chain.",NaN,Narrative
8,Environmental Performance - Forests,8.8,Indicate if your organization has a traceability system to determine the origins of your sourced volumes and provide details of the methods and tools used.,"Organizations should know or control the origins of their sourced commodities to eliminate deforestation and conversion of other natural ecosystems in their value chain. Robust traceability systems allow organizations to ascertain that the production and processing units of commodity origins are free from deforestation and conversion. This information helps investors and other data users assess whether organizations have the necessary traceability systems to determine the compliance of sourced volumes with their no-deforestation and no-conversion policies, targets, and goals, and the methodologies and tools involved.",Response options; NaN,Boolean
8,Environmental Performance - Forests,8.8.1,Provide details of the point to which your organization can trace its sourced volumes.,"Organizations must understand and disclose the traceability levels of their sourced volumes to demonstrate their ability to assess compliance with no-deforestation and no-conversion policies, targets, and goals. This question helps investors and other data users understand the extent to which organizations know the origin of their commodities, and therefore their ability to determine deforestation- and conversion-free (DCF) status and identify their dependencies, impacts, risks, and opportunities.",NaN,Narrative
8,Environmental Performance - Forests,8.9,Provide details of your organization's assessment of the deforestation-free (DF) or deforestation- and conversion-free (DCF) status of its disclosed commodities.,"Organizations should disclose the proportion of volumes in their direct operations and upstream value chain assessed and determined to be DF or DCF. The DF designation signifies that the production and sourcing of commodity volumes did not cause or contribute to deforestation since a specified cutoff date, while the DCF designation signifies that the production and sourcing of commodity volumes did not cause or contribute to deforestation and the conversion of other natural ecosystems since a specified cutoff date. This question helps data users understand organizations' performance and progress towards DCF and the methods used to ascertain DF/DCF status.",Response options;;,Quantitative Table
8,Environmental Performance - Forests,8.9.1,"Provide details of third-party certification schemes used to determine the deforestation-free (DF) or deforestation- and conversion-free (DCF) status of the disclosure volume, since specified cutoff date.",This question gathers information on the proportion of your disclosure volume determined to be DF or DCF using a third-party certification scheme providing full assurance of DF/DCF. Credible third-party certification is one method organizations can use to determine that no deforestation or conversion has occurred since a specified cutoff date and assure investors and other data users that their commodity volumes are DF/DCF.,NaN,Narrative
8,Environmental Performance - Forests,8.9.2,Provide details of third-party certification schemes not providing full DF/DCF assurance.,"This question gathers information on the proportion of your disclosure volume certified through third-party certification schemes that do not provide full DF or DCF assurance, used in combination with additional control methods to determine the DF/DCF status.",NaN,Quantitative Table
8,Environmental Performance - Forests,8.9.3,Provide details of production unit monitoring used to determine deforestation-free (DF) or deforestation- and conversion-free (DCF) status of volumes since specified cutoff date.,This question gathers information on the proportion of the disclosure volume that has been determined to be DF or DCF via monitoring of the production unit for deforestation and conversion. Regular monitoring of the production unit is one method organizations can use to determine that no deforestation or conversion has occurred since a specified cutoff date and assure investors and other data users that their commodity volumes are DF/DCF.,NaN,Quantitative Table
8,Environmental Performance - Forests,8.9.4,Provide details of the sourcing area monitoring used to determine deforestation-free (DF) or deforestation- and conversion-free (DCF) status of volumes since specified cutoff date.,"Commodity volumes can be claimed to be DF or DCF if they originate in sourcing areas where there is no or negligible risk that deforestation and/or conversion has occurred related to that of the sourcing area. This question helps data users understand whether your organization is making DF/DCF claims based on sourcing area-level risk assessment, and how your organization is monitoring those sourcing areas to ensure the absence of deforestation or conversion risk.",NaN,Narrative
8,Environmental Performance - Forests,8.10,Indicate whether you have monitored or estimated the deforestation and conversion of other natural ecosystems footprint for your disclosed commodities.,Monitoring and estimating the deforestation and conversion footprint associated with commodity production or sourcing is key to understanding the scale of your impacts.,NaN,Boolean
8,Environmental Performance - Forests,8.10.1,Provide details on the monitoring or estimating of your deforestation and conversion footprint.,"Disclosure of the extent to which your organization monitors or estimates its deforestation and conversion footprint on land you own, manage or control, and/or within your upstream value chain, provides investors and other data users with an understanding of the scale of your impacts related to deforestation and conversion of other natural ecosystems. This question allows organizations to demonstrate transparency and awareness of the relationship between natural ecosystems and their business activities.",NaN,Narrative
8,Environmental Performance - Forests,8.11,"For volumes not assessed and determined as deforestation- and conversion-free (DCF), indicate if you have taken actions in the reporting year to increase production or sourcing of DCF volumes.",This question allows organizations to disclose actions taken in the reporting year related to volumes that are not yet assessed and determined as DCF. Achieving deforestation- and conversion-free value chains may take longer for organizations engaging in transformative actions across sourcing landscapes. This question allows data users to understand the actions your organization is taking to address environmental or social issues related to commodity production/sourcing and if and how these actions contribute to determining the DCF status of commodity volumes or remediate past conversion.,NaN,Narrative
8,Environmental Performance - Forests,8.11.1,Provide details of actions taken in the reporting year to assess and increase production/sourcing of deforestation- and conversion-free (DCF) volumes.,"Organizational approaches to achieving DCF status should support efforts to halt deforestation and conversion on the ground by working with non-compliant suppliers, ensuring smallholder inclusion, and working collaboratively in production landscapes. Achieving deforestation- and conversion-free value chains may take longer for organisations engaging in transformative actions across sourcing landscapes. This question allows data users to understand whether your organization is taking action to address environmental or social issues related to commodity production/sourcing and if and how these actions contribute to determining the DCF status of commodity volumes.",NaN,Narrative
8,Environmental Performance - Forests,8.12,Indicate if certification details are available for the commodity volumes sold to requesting CDP Supply Chain members.,"This information will provide clarity to CDP Supply Chain members on whether data is available for the percentage of the total commodity volume bought from your organization that is certified by a third party. This meets the transparency expectations from requesting members and allows organizations to disclose their progress on securing a supply of sustainable raw materials and/or products. Additionally, this question allows CDP Supply Chain members to understand the primary reasons for not disclosing certification details for the volumes sold by your organization. This provides insight into the main challenges in this area and informs members on plans to address these challenges.",NaN,Boolean
8,Environmental Performance - Forests,8.12.1,Provide details of the certified volumes sold to each requesting CDP Supply Chain member.,"This question gathers details on the percentage of the total commodity volume bought from your organization that is certified by a third party, the certification schemes used and forms of commodities that are certified.",NaN,Quantitative Table
8,Environmental Performance - Forests,8.13,Does your organization calculate the GHG emission reductions and/or removals from land use management and land use change that have occurred in your direct operations and/or upstream value chain?,Understanding the GHG emissions reductions/removals from land use management and land use change can inform mitigation strategies. This question enables requesting CDP Supply Chain members to understand progress towards emissions reduction targets and it allows organizations to assess progress with regards to reducing emissions beyond business-as-usual scenarios (beyond standard maintenance/replacement activities).,"Response options;  
NaN",Boolean
8,Environmental Performance - Forests,8.13.1,Provide details on the actions your organization has taken in its direct operations and/or upstream value chain that have resulted in reduced GHG emissions and/or enhanced removals.,Understanding the GHG emissions/removals from land use management and land use change can inform mitigation strategies. This question enables CDP supply chain requesting members to understand progress towards emissions targets and it allows organizations to assess progress with regards to reducing emissions beyond business-as-usual scenarios (beyond standard maintenance/replacement activities).,NaN,Narrative
8,Environmental Performance - Forests,8.14,"Indicate if you assess your own compliance and/or the compliance of your suppliers with forest regulations and/or mandatory standards, and provide details.","This question gathers data on how your organization assessed compliance with forest laws and regulations in its direct operations and the rest of its value chain within the reporting year. Assessment of applicable laws is an important aspect of social and environmental due diligence, and good practice that promotes legal compliance in the countries/areas of origin of commodities, including when acquiring lands and resources. For those organizations with operations in Brazil, compliance with the Brazilian Forest Code indicates that organizations are working to ensure their production in Brazil is compliant with national legislation.",NaN,Narrative
8,Environmental Performance - Forests,8.15,Do you engage in landscape (including jurisdictional) initiatives to progress shared sustainable land use goals?,"A growing number of organizations, as well as platforms such as the Consumer Goods Forum and the Soft Commodities Forum, are incorporating landscape and jurisdictional approaches and initiatives as a part of corporate sustainability strategies. Working collaboratively with multiple actors at landscape and jurisdictional scale is increasingly accepted as a best practice approach to driving conservation and restoration impacts at scale, tackling deforestation and conversion commitments through a value chain and achieving sustainability goals, especially where there are systemic challenges in production landscapes. This question helps data users to understand which organizations are taking this approach and engaging in such landscape and jurisdictional initiatives.",NaN,Boolean
8,Environmental Performance - Forests,8.15.1,Indicate the criteria you consider when prioritizing landscapes and jurisdictions for engagement in collaborative approaches to sustainable land use and provide an explanation.,"To effectively address deforestation, achieve sustainability targets, and to secure supply chain operations, organizations need to actively engage in the landscapes/jurisdictions they depend on. They will likely have key knowledge and expertise to share with existing initiatives and be able to progress shared goals effectively. Investors and other data users are interested in knowing how organizations identify collaborations that maximize value and positive impact. Prioritizing a landscape should go beyond a country/area level analysis to the regions within a value chain that pose the highest risk from deforestation and conversion. It will also identify landscapes that present opportunities for collaboration, such as governmental commitments and the presence of existing initiatives, including for production, conservation, and restoration activities. This requires an understanding of the overlay between footprint and risk/opportunity within these production landscapes. It is critical that organizations establish a definition for the priority landscapes within their sourcing footprint, and a set of criteria for choosing which landscape to engage in - such as a risk of non-compliance with sourcing policies or the presence of conditions that foster meaningful engagement. This ensures that the engagement and type of intervention integrates with the organization's sustainability strategy and risk assessment approach. Prioritizing action is important to maximize the potential impact of the engagement. It is important to consider enabling conditions both in the landscape/jurisdiction and in the organization.",NaN,Narrative
8,Environmental Performance - Forests,8.15.2,Provide details of your engagement with landscape/jurisdictional initiatives to sustainable land use during the reporting year.,"This question allows data users to understand: the landscape/jurisdictional initiatives you engage with, the nature of the engagement, the sustainability goals supported by your organization's activities, the investment, and how progress is monitored. Working collaboratively with multiple actors at a landscape and jurisdictional scale is increasingly accepted as a best practice approach to driving conservation and restoration results at scale, transitioning towards deforestation and conversion free production and achieving sustainability goals, especially where there are systemic challenges in production landscapes. Responses will provide valuable insights into good practice for corporate involvement in landscape and jurisdictional initiatives.",NaN,Narrative
8,Environmental Performance - Forests,8.15.3,"For each of your disclosed commodities, provide details on the disclosure volume from each of the landscapes/jurisdictions you engage in.",Disclosing your produced or sourced volumes from each landscape/jurisdiction demonstrates whether collaborative engagement contributes to your own strategy for increasing sustainable production/sourcing. It also helps data users to understand how your engagement in landscape/jurisdictional initiatives relate to your sourcing of commodities.,"1;2;3;4;
Landscape/jurisdiction ID;Does any of your produced and/or sourced commodity volume originate from this landscape/jurisdiction, and are you able/willing to disclose information on this volume?;Commodity;% of disclosure volume from this landscape/jurisdiction;
Select from: LJ1 - LJ25;Select from: · Yes, we do produce/source from this landscape/jurisdiction, and we are able/willing to disclose volume data;Select from: · Timber products · Palm oil · Cattle products · Soy · Rubber · Cocoa · Coffee;Numerical field [enter a number from 0-100 using a maximum of 2 decimal places];
· Yes, we do produce/source from this landscape/jurisdiction, but we are not able/willing to disclose volume data · No, we do not produce/source from this landscape/jurisdiction;",Quantitative Table
8,Environmental Performance - Forests,8.16,"Do you participate in any other external activities to support the implementation of policies and commitments related to deforestation, ecosystem conversion, or human rights issues in commodity value chains?","Beyond landscape and jurisdictional approaches, involvement in other external activities brings together actors in a sector to establish shared objectives, develop plans, and take action to overcome challenges that can help the organization improve its production/sourcing practices and address broader issues in sectors or production landscapes. There may also be opportunities for driving innovation in the market and finding solutions to the challenges associated with the production and sourcing of sustainable raw materials.","Select one of the following options: · Yes . No, but we plan to do so in the next two years . No, and we do not plan to do so in the next two years",Enumeration
8,Environmental Performance - Forests,8.16.1,"Provide details of the external activities to support the implementation of your policies and commitments related to deforestation, ecosystem conversion, or human rights issues in commodity value chains.","Beyond landscape and jurisdictional approaches, involvement in other external activities brings together actors in a sector to establish shared objectives, develop plans, and take action to overcome challenges that can help the organization improve its production/sourcing practices and address broader issues in sectors or production landscapes. There may also be opportunities for driving innovation in the market and finding solutions to the challenges associated with the production and sourcing of sustainable raw materials.","Select one of the following options: · Yes . No, but we plan to do so in the next two years . No, and we do not plan to do so in the next two years",Enumeration
8,Environmental Performance - Forests,8.17,Is your organization supporting or implementing project(s) focused on ecosystem restoration and long-term protection?,"This question gathers data on the projects your organization has supported or implemented, or plan to implement in two years, that are related to ecosystem restoration, reforestation and/or protection of forests and other ecosystems. This information demonstrates to investors and other data users that your organization is committed and proactive towards forests stewardship.","Select from: · Yes · No, but we plan to implement a project(s) within the next two years · No, and we do not plan to implement project(s) within the next two years",Enumeration
8,Environmental Performance - Forests,8.17.1,"Provide details on your project(s), including the extent, duration, and monitoring frequency. Please specify any measured outcome(s).","This question gathers data on the projects your organization has supported or implemented, that are related to ecosystem restoration, reforestation and/or conservation of forests and other ecosystems. This information demonstrates to CDP's investors and other data users that your organization is strongly committed and proactive towards sustainable forests stewardship.",NaN,Narrative
9,Environmental Performance - Water Security,9.1,Are there any exclusions from your disclosure of water-related data?,"CDP seeks to share comprehensive and representative water data. If organizations do need to exclude areas of their business from their disclosure, data users must be informed of the exclusions as this may affect their analysis.",Select one of the following options: · Yes · No,Boolean
9,Environmental Performance - Water Security,9.1.1,Provide details on these exclusions.,"An organization's disclosure must be comprehensive and representative to ensure data user confidence in the information reported. As such, organizations are encouraged to report on any exclusions to their disclosure including any geographies, facilities, and other water aspects","Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table",Quantitative Table
9,Environmental Performance - Water Security,9.2,"Across all your operations, what proportion of the following water aspects are regularly measured and monitored?","This question allows your company to indicate to investors, customers, and other data users the extent to which it monitors different aspects of its water use. Comprehensive water accounting is a first step in understanding the importance of water to your business and any potential water-related impacts to your business. This data may also be relevant to a company's regulatory compliance.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.2.1,"For your hydropower operations, what proportion of the following water aspects are regularly measured and monitored?","Dam operation implies an alteration of the natural river flow and sediment movement. Changes to river hydrology may affect instream and streamside habitats and affect local biodiversity. Ensuring appropriate environmental flows and sediment loadings helps to maintain water ecosystems and their basic functions. Sediments can collect behind a dam because the dam itself is a physical barrier. Eventually they can reduce the operative capacity of dams. When sediments collect, ecosystems upstream and downstream can be affected. CDP acknowledges that there is no universally accepted methodology for establishing environmental flows. In their simplest form, they can include low- and high- water regimes, and in their most complex, they may consider biodiversity and socioeconomic.","Please complete the following table:

1 | 2 | 3  
---|---|---  
Water aspect | % of sites/facilities/operations measured and monitored | Please explain  
Fulfilment of downstream environmental flows | Select from: · Not monitored · Less than 1% · 1-25% · 26-50% · 51-75% · 76-99% · 100% · Not relevant | Text field [maximum 2,500 characters]  
Sediment loading |   |  
Other, please specify |   |  ",Quantitative Table
9,Environmental Performance - Water Security,9.2.2,"What are the total volumes of water withdrawn, discharged, and consumed across all your operations, how do they compare to the previous reporting year, and how are they forecasted to change?","This question incentivizes companies to have a complete view of their water balance at the corporate level and to assess anticipated forward trends in water demand, encouraging a transition towards business models which do not pose threats to rivers, lakes, aquifers, and streams. Total volumes can indicate the organization's relative significance as a user of water and provide a baseline figure for other calculations. Along with trend data, these volumes can also suggest the level of risk posed by future disruptions to water supplies or increases in the cost of water. Water consumption measures water that is no longer available for use by the ecosystem or local community in the reporting period. Reporting the volume of water consumption contributes to an organization's understanding of the overall scale of its impact due to water withdrawal on downstream water availability.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.2.3,"In your oil & gas sector operations, what are the total volumes of water withdrawn, discharged, and consumed (by business division), how do they compare to the previous reporting year, and how are they forecasted to change?","This question incentivizes companies to have a complete view of their water balance at the business division level and to assess anticipated forward trends in water demand, encouraging a transition towards business models which do not pose threats to rivers, lakes, aquifers, and streams. Volumes of water withdrawals, discharges, and consumption typically differ significantly between business divisions. Detailing the water balance at this scale provides data users with an understanding of the key phases that determine the organization's water balance and allow a better interpretation of answers provided in other sections of the questionnaire.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.2.4,"Indicate whether water is withdrawn from areas with water stress, provide the volume, how it compares with the previous reporting year, and how it is forecasted to change.","Since water is a shared resource, and water-related impacts are localized, organizations are increasingly encouraged to prioritize action in areas with water stress and to understand and respond to local contexts. This question on water from stressed areas supports a trend towards metrics for corporate water reporting and target setting informed by local context, and in addition, the TCFD recommends disclosure of reliance on water from areas of water stress. This question also incentivizes organizations to assess anticipated forward trends in withdrawals from water stressed areas, encouraging a transition towards business models which do not pose threats to rivers, lakes, aquifers, and streams. The data requested assists the assessment of your organization's dependence on potentially contested sources (regardless of whether your facility itself is located in a stressed area), as well as your potential impact on sensitive locations.","Please complete the following table:

1;2;3;4;5;
Withdrawals are from areas with water stress;Volume withdrawn from areas with water stress (megaliters);Comparison with previous reporting year;Primary reason for comparison with previous reporting year;Five-year forecast;
Select from: · Yes · No · Unknown;Numerical field [enter a number from 0- 999,999,999,999 using a maximum of two decimal places];Select from: · Much lower · Lower · About the same · Higher · Much higher · This is our first year of measurement;Select from: · Change in accounting methodology · Divestment from water intensive technology/process · Facility closure · Facility expansion · Increase/decrease in business activity · Increase/decrease in efficiency · Investment in water- smart technology/process · Maximum potential volume reduction already achieved · Mergers and acquisitions · Unknown · Other, please specify;Select from: · Much lower · Lower · About the same · Higher · Much higher · Unknown;

6;7;8;9;
Primary reason for forecast;% of total withdrawals that are withdrawn from areas with water stress;Identification tool;Please explain;
Select from: · Change in accounting methodology · Divestment from water intensive technology/process · Facility closure · Facility expansion · Increase/decrease in business activity · Increase/decrease in efficiency;[Auto-calculated];Select all that apply: · WRI Aqueduct · WWF Water Risk Filter · Other, please specify;Text field [maximum 5,000 characters];
· Investment in water-smart technology/process · Maximum potential volume reduction already achieved · Mergers and acquisitions · Unknown · Other, please specify;",Quantitative Table
9,Environmental Performance - Water Security,9.2.5,What proportion of the produced agricultural commodities that are significant to your organization originate from areas with water stress?,This question provides data users with information on the exposure that the organization may have to scarce resources in their direct operations. This metric will also allow data users to better understand the answers provided in other sections of the questionnaire.,Please complete the following table.,Quantitative Table
9,Environmental Performance - Water Security,9.2.6,What proportion of the sourced agricultural commodities that are significant to your organization originate from areas with water stress?,This question provides data users with information on an organization's exposure to scarce resources in their value chain. This metric will also allow data users to better understand the answers provided in other sections of the questionnaire.,Please complete the following table.,Quantitative Table
9,Environmental Performance - Water Security,9.2.7,Provide total water withdrawal data by source.,"Distinguishing between source types and reporting volume of water withdrawn by source contributes to an understanding of the potential risks and impacts associated with an organization's water use as this level of detail can be significant. For example, withdrawing water from an overdrawn aquifer will have different consequences for local water stress and a company's water security than does withdrawing seawater. Clean freshwater is becoming increasingly scarce, and this can impact production processes that rely on large volumes of water. In regions where water sources are highly restricted, the organization's water consumption patterns can also influence relations with other stakeholders.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.2.8,Provide total water discharge data by destination.,Reporting volume of water discharged to specific destinations contributes to an understanding of the specific risks and impacts associated with an organization's water discharges.,"Please complete the following table:

0;1;2;3;4;5;
Destination;Relevance;Volume (megaliters/year);Comparison with previous reporting year;Primary reason for comparison with previous reporting year;Please explain;
Fresh surface water;Select from: · Relevant · Relevant but volume unknown · Not relevant;Numerical field [enter a range of 0- 999,999,999,999 using a maximum of 2 decimal places];Select from: · Much lower · Lower · About the same · Higher · Much higher · This is our first year of measurement;Select from: · Change in accounting methodology · Divestment from water intensive technology/process · Facility closure · Facility expansion · Increase/decrease in business activity · Increase/decrease in efficiency · Investment in water- smart technology/process · Maximum potential volume reduction already achieved · Mergers and acquisitions · Unknown;Text field [maximum 1,000 characters];
· Other, please specify;
Brackish surface water/seawater;;;;;;
Groundwater;;;;;;
Third-party destinations;;;;;;",Quantitative Table
9,Environmental Performance - Water Security,9.2.9,"Within your direct operations, indicate the highest level(s) to which you treat your discharge.","Reporting on levels of treatment demonstrates that the organization is monitoring its discharges and is able to understand the extent to which its activities impact water quality. Pollution is a driver of business risk and a potential threat to public health, food security, and economic resilience - as well as a cause of degradation of freshwater biodiversity. Treatment of discharge is therefore critical and transparency on this will aid investors, customers, and other data users to assess the risks and opportunities.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.2.10,"Provide details of your organization's emissions of nitrates, phosphates, pesticides, and other priority substances to water in the reporting year.","This question allows organizations to indicate their emissions to water of priority substances, helping them understand, manage, and reduce the use of nitrates, phosphates, pesticides, and other priority substances.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.3,"In your direct operations and upstream value chain, what is the number of facilities where you have identified substantive water-related dependencies, impacts, risks, and opportunities?","Water is a local issue, and data users want to know that organizations are considering dependencies, impacts, risks, and opportunities at the facility level. Reporting the total count of facilities where substantive water-related dependencies, impacts, risks, and/or opportunities have been identified provides a basic but useful indication of the organization's reliance on these areas. Reporting the proportion of total facilities in your direct operations that have been identified allows data users to understand the importance of these facilities relative to the size of your organization.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.3.1,"For each facility referenced in 9.3, provide coordinates, water accounting data, and a comparison with the previous reporting year.","Reporting information on facilities where you have identified substantive water-related dependencies, impacts, risks, and/or opportunities helps data users have confidence that your organization is monitoring local water aspects. It provides insight to dependency on different sources and potential impacts associated with water withdrawals and discharges. For example, withdrawing from an overdrawn freshwater aquifer rather than from seawater will have significantly different consequences for local areas with water stress and an organization's water security. In regions where water sources are highly restricted, the organization's water consumption patterns can influence relations with other stakeholders. Providing facility-level information is useful for demonstrating regulatory compliance (e.g., discharges to the local environment), for risk assessments and for providing insight to risk responses (e.g., tracking water efficiency improvements). Geo-location coordinates for your facilities with substantive water-related dependencies, impacts, risks, and/or opportunities enables data users to analyze geographically linked dependencies, impacts, risks, and opportunities and to do so across multiple companies. This also facilitates the integration of CDP's water data with other geographically linked data.","Please complete the following table. You are able to add rows using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.3.2,"For the facilities in your direct operations referenced in 9.3.1, what proportion of water accounting data has been third party verified?","Providing third party verification for water accounting data at facilities with substantive water-related dependencies, impacts, risks, and/or opportunities gives CDP data users increased confidence in the data you are reporting.",Please complete the following table:,Quantitative Table
9,Environmental Performance - Water Security,9.4,Could any of your facilities reported in 9.3.1 have an impact on a requesting CDP supply chain member?,"In 9.3 you were asked to identify the number of your facilities with substantive water-related dependencies, impacts, risks, and/or opportunities. In 9.3.1 you then reported water accounting data for these facilities. This question asks whether any of these facilities could have an impact on a requesting CDP supply chain member.","Select one of the following options: · Yes, CDP supply chain members buy goods or services from facilities listed in 9.3.1 · No, CDP supply chain members do not buy goods or services from facilities listed in 9.3.1 · No facilities were reported in 9.3.1 · We do not have this data but we intend to collect it within two years · We do not have this data and have no intentions to collect it · This is confidential",Enumeration
9,Environmental Performance - Water Security,9.4.1,Indicate which of the facilities referenced in 9.3.1 could impact a requesting CDP supply chain member.,"Indicating which of your customers use goods or services produced by facilities referenced in 9.3.1 will help them understand and take action to respond to their substantive water-related dependencies, impacts, risks and/or opportunities.","Please complete the following table. You are able to add rows using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.5,Provide a figure for your organization's total water withdrawal efficiency.,"A water withdrawal efficiency metric enables organizations to track the water-dependency of their revenue, as well as benchmark their water use. Awareness of water efficiency can drive cost savings, increased brand value, and product or service innovation. This metric helps data users track an organization's transition towards a water secure future.",Please complete the following table:,Quantitative Table
